metric,value
read_dicom_time,0.2087641
filter_sort_time,0.00597890000000012
hu_conversion_time,0.2486638000000001
spacing_calc_time,0.00010889999999985633
memory_usage,575451136
total_load_time,0.4814898999999999
memory_after_load,356073472
segmentation_time,0.007111999999999785
memory_after_seg,357502976
mip_time,0.029740600000000228
memory_after_mip,425226240
gif_time,93.9739621
memory_after_gif,436281344
